,DRG,ID,Name,Adress,City,State,Zipcode,Region,Discharges,Average_Covered_Charges,Average_Total_Payments,Average_Medicare_Payments
97067,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,17,22169.88,5066.06,4369.71
97068,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,44,32547.3,8628.25,7350.32
97069,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,33,46743.42,6587.39,5598.58
97070,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,53,21198.17,7764.3,6289.89
97071,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,24,11696.29,5576.25,5064.08
97072,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,27,25170.44,6318.07,4687.33
97073,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,23,30708.17,5168.22,4412.74
97074,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,14,25309.71,5092.5,4462.5
97075,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,17,24273.29,7397.18,6661.18
97076,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,15,33903.6,6717.27,5406.33
97391,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,12,112512.83,36318.58,35391.92
97392,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,24,196393.17,41629.0,38460.42
97393,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,29,151809.59,33873.59,32965.76
97394,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,30,119576.77,35024.03,31079.53
97395,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,17,117933.18,28711.59,28054.88
97396,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,16,142364.69,29896.19,28962.19
97397,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,13,180453.23,40898.08,39918.08
97398,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,13,113629.15,28926.46,19247.92
97399,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,15,308881.0,42705.2,41412.27
97613,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,11,65927.0,16613.18,15475.73
97614,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,25,81694.12,20588.6,19639.8
97615,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,13,76880.23,16700.62,13552.92
97616,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,24,68218.92,19934.21,16033.67
97617,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,17,53223.88,16156.0,11593.29
97618,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,23,51618.35,15189.7,11337.91
97619,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC",440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,21,106290.1,21774.62,13264.71
97841,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,23,58073.3,13243.22,10355.39
97842,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,22,37322.14,9115.59,7567.23
97843,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,12,57022.92,11275.08,8417.17
97844,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,14,36959.86,8204.29,6368.29
97845,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,20,66707.45,7897.7,6835.5
97846,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,30,58560.27,10374.5,7649.6
97847,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC",440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,11,21810.64,7804.64,6556.64
98932,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,42,74345.62,28642.5,24729.9
98933,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,TN - Nashville,13,178520.92,27696.23,26837.46
98934,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,TN - Knoxville,15,125393.67,26796.27,20955.2
98935,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,16,97595.44,28549.19,27826.25
98936,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,17,112195.29,30560.0,26579.35
98937,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,23,71767.87,24078.7,21594.39
98938,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,21,109148.05,28043.57,22625.76
98939,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,50,132394.24,37562.98,32197.12
98940,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,40,142462.83,34122.58,32141.9
98941,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,80,112376.94,33670.53,29838.91
98942,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,TN - Nashville,23,95362.65,29935.78,24238.52
98943,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,14,33276.71,25664.86,24687.43
98944,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,19,142049.53,27480.74,24437.89
98945,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,TN - Nashville,18,67947.0,25943.72,25036.17
98946,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,31,111831.74,27858.81,27031.29
98947,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,60,98900.03,27101.5,24342.93
98948,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,26,128671.46,33858.12,31921.77
98949,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,39,121073.13,25465.74,24432.1
98950,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,30,96056.27,25903.03,22094.07
98951,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440133,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,NASHVILLE,TN,37236,TN - Nashville,18,98721.28,32478.78,28099.44
98952,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,13,177440.15,31540.62,26039.92
98953,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,16,128928.88,27520.63,26505.06
98954,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,23,178021.78,32785.26,27246.65
98955,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,17,77232.53,26144.06,20791.41
98956,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440185,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,TN - Chattanooga,12,225784.5,30049.08,28980.25
98957,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,440189,TENNOVA HEALTHCARE-REGIONAL JACKSON,367 HOSPITAL BLVD,JACKSON,TN,38305,TN - Jackson,20,221018.35,25600.6,24844.6
100390,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,56,45732.89,14961.57,13043.96
100391,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,TN - Nashville,14,68374.36,14575.86,12169.07
100392,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,TN - Knoxville,16,67446.44,12504.31,11570.31
100393,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,21,39460.43,13444.48,11371.62
100394,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,36,52879.81,15932.08,12376.39
100395,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,TN - Kingsport,25,44482.52,14415.6,11541.76
100396,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,17,38477.88,13453.35,10779.06
100397,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,59,74252.29,19477.27,17985.25
100398,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,66,51663.42,15003.36,13641.76
100399,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,86,70264.81,18586.19,14573.07
100400,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,TN - Nashville,18,73019.78,14571.83,12030.11
100401,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,TN - Nashville,12,110374.42,13773.17,12730.5
100402,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,34,27487.12,14303.85,11846.74
100403,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,37604,TN - Johnson City,18,115525.61,14535.06,13842.39
100404,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,TN - Nashville,28,41350.11,13610.96,12669.11
100405,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,49,58995.88,14086.31,12091.37
100406,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,78,44725.53,13714.59,11204.79
100407,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,22,51163.32,16963.45,15325.45
100408,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,58,56401.5,13116.78,11109.17
100409,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,25,44528.44,13349.16,12402.12
100410,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440133,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,NASHVILLE,TN,37236,TN - Nashville,49,65548.76,15487.35,13849.12
100411,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440144,HARTON REGIONAL MEDICAL CENTER,1801 N JACKSON ST BOX 460,TULLAHOMA,TN,37388,TN - Nashville,13,130865.0,15121.92,12877.92
100412,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,18,86618.78,14074.72,13099.61
100413,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,13,107295.77,15814.38,15142.69
100414,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,47,91496.4,15767.38,13667.81
100415,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,28,40461.21,13245.75,10891.43
100416,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,TN - Memphis,12,149949.17,16021.17,14802.83
101241,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,22,35034.77,10000.09,8136.5
101242,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,TN - Kingsport,17,33472.53,10334.88,7630.41
101243,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440015,THE UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,TN - Knoxville,31,42675.74,10773.84,8780.23
101244,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,TN - Knoxville,11,24850.64,8518.82,7610.45
101245,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,22,50743.59,13223.91,12201.0
101246,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,TN - Memphis,28,37072.68,9992.61,8319.86
101247,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,44,51191.18,12617.14,9245.59
101248,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440053,SAINT THOMAS RUTHERFORD HOSPITAL,1700 MEDICAL CENTER PARKWAY,MURFREESBORO,TN,37129,TN - Nashville,17,40928.94,11065.94,7045.53
101249,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440059,COOKEVILLE REGIONAL MEDICAL CENTER,1 MEDICAL CENTER BOULEVARD,COOKEVILLE,TN,38501,TN - Nashville,26,19919.77,10019.96,7283.38
101250,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440073,MAURY REGIONAL HOSPITAL,1224 TROTWOOD AVE,COLUMBIA,TN,38401,TN - Nashville,24,34245.83,9715.67,8105.83
101251,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,13,39915.62,9901.69,7188.23
101252,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,30,32656.67,10600.93,5625.77
101253,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440104,ERLANGER MEDICAL CENTER,975 E 3RD ST,CHATTANOOGA,TN,37403,TN - Chattanooga,13,39157.0,11749.46,9825.08
101254,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,27,44439.81,8621.56,7138.7
101255,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,27,28456.96,9369.52,7332.7
101256,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440133,SAINT THOMAS MIDTOWN HOSPITAL,2000 CHURCH ST,NASHVILLE,TN,37236,TN - Nashville,31,62293.13,12583.68,7698.1
101257,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440150,TRISTAR SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076,TN - Nashville,11,74522.91,11694.0,6747.0
101258,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,TN - Nashville,25,60726.32,11065.4,8415.84
101259,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,TN - Knoxville,25,28611.96,8720.76,6645.32
101260,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,TN - Memphis,13,94316.38,10523.54,9202.85
101410,333 - RECTAL RESECTION W CC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,11,100810.64,22143.55,14726.82
101411,333 - RECTAL RESECTION W CC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,12,39107.25,14039.75,9433.08
101497,335 - PERITONEAL ADHESIOLYSIS W MCC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,12,89842.0,29891.08,26691.5
101498,335 - PERITONEAL ADHESIOLYSIS W MCC,440091,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,TN,37404,TN - Chattanooga,12,97954.67,23087.83,22161.17
101732,336 - PERITONEAL ADHESIOLYSIS W CC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,12,44817.0,14444.67,11506.58
101733,336 - PERITONEAL ADHESIOLYSIS W CC,440039,VANDERBILT UNIVERSITY HOSPITAL,1161 21ST AVENUE SOUTH,NASHVILLE,TN,37232,TN - Nashville,12,63284.25,17895.58,14939.92
101734,336 - PERITONEAL ADHESIOLYSIS W CC,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,TN - Memphis,21,58392.67,17205.05,13672.52
101735,336 - PERITONEAL ADHESIOLYSIS W CC,440082,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,TN - Nashville,14,50838.93,13741.64,10897.07
101736,336 - PERITONEAL ADHESIOLYSIS W CC,440125,FORT SANDERS REGIONAL MEDICAL CENTER,1901 W CLINCH AVE,KNOXVILLE,TN,37916,TN - Knoxville,15,43672.8,12409.87,11662.67
101821,337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,440120,TENNOVA HEALTHCARE,900 EAST OAK HILL AVENUE,KNOXVILLE,TN,37917,TN - Knoxville,12,50363.5,8042.25,6894.58
102015,354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,TN - Jackson,11,34858.64,9832.36,8576.36
